id,text
49001001,"Paul, an apostle of Jesus Christ by the will of God, to the saints which are at Ephesus, and to the faithful in Christ Jesus:"
49001002,"Grace be to you, and peace, from God our Father, and from the Lord Jesus Christ."
49001003,"Blessed be the God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenly places in Christ:"
49001004,"According as he hath chosen us in him before the foundation of the world, that we should be holy and without blame before him in love:"
49001005,"Having predestinated us unto the adoption of children by Jesus Christ to himself, according to the good pleasure of his will,"
49001006,"To the praise of the glory of his grace, wherein he hath made us accepted in the beloved."
49001007,"In whom we have redemption through his blood, the forgiveness of sins, according to the riches of his grace;"
49001008,Wherein he hath abounded toward us in all wisdom and prudence;
49001009,"Having made known unto us the mystery of his will, according to his good pleasure which he hath purposed in himself:"
49001010,"That in the dispensation of the fulness of times he might gather together in one all things in Christ, both which are in heaven, and which are on earth; even in him:"
49001011,"In whom also we have obtained an inheritance, being predestinated according to the purpose of him who worketh all things after the counsel of his own will:"
49001012,"That we should be to the praise of his glory, who first trusted in Christ."
49001013,"In whom ye also trusted, after that ye heard the word of truth, the gospel of your salvation: in whom also after that ye believed, ye were sealed with that holy Spirit of promise,"
49001014,"Which is the earnest of our inheritance until the redemption of the purchased possession, unto the praise of his glory."
49001015,"Wherefore I also, after I heard of your faith in the Lord Jesus, and love unto all the saints,"
49001016,"Cease not to give thanks for you, making mention of you in my prayers;"
49001017,"That the God of our Lord Jesus Christ, the Father of glory, may give unto you the spirit of wisdom and revelation in the knowledge of him:"
49001018,"The eyes of your understanding being enlightened; that ye may know what is the hope of his calling, and what the riches of the glory of his inheritance in the saints,"
49001019,"And what is the exceeding greatness of his power to us-ward who believe, according to the working of his mighty power,"
49001020,"Which he wrought in Christ, when he raised him from the dead, and set him at his own right hand in the heavenly places,"
49001021,"Far above all principality, and power, and might, and dominion, and every name that is named, not only in this world, but also in that which is to come:"
49001022,"And hath put all things under his feet, and gave him to be the head over all things to the church,"
49001023,"Which is his body, the fulness of him that filleth all in all."
49002001,"And you hath he quickened, who were dead in trespasses and sins;"
49002002,"Wherein in time past ye walked according to the course of this world, according to the prince of the power of the air, the spirit that now worketh in the children of disobedience:"
49002003,"Among whom also we all had our conversation in times past in the lusts of our flesh, fulfilling the desires of the flesh and of the mind; and were by nature the children of wrath, even as others."
49002004,"But God, who is rich in mercy, for his great love wherewith he loved us,"
49002005,"Even when we were dead in sins, hath quickened us together with Christ, (by grace ye are saved;)"
49002006,"And hath raised us up together, and made us sit together in heavenly places in Christ Jesus:"
49002007,That in the ages to come he might shew the exceeding riches of his grace in his kindness toward us through Christ Jesus.
49002008,For by grace are ye saved through faith; and that not of yourselves: it is the gift of God:
49002009,"Not of works, lest any man should boast."
49002010,"For we are his workmanship, created in Christ Jesus unto good works, which God hath before ordained that we should walk in them."
49002011,"Wherefore remember, that ye being in time past Gentiles in the flesh, who are called Uncircumcision by that which is called the Circumcision in the flesh made by hands;"
49002012,"That at that time ye were without Christ, being aliens from the commonwealth of Israel, and strangers from the covenants of promise, having no hope, and without God in the world:"
